entry,domain,interdomain,total_count,state
SERCA1a,TM1,False,4.0,E1ATP
SERCA1a,TM1,True,1.0,E1ATP
SERCA1a,TM1-2_loop,True,1.0,E1ATP
SERCA1a,TM10,False,6.0,E1ATP
SERCA1a,TM10,True,9.0,E1ATP
SERCA1a,TM2,False,2.0,E1ATP
SERCA1a,TM2,True,5.0,E1ATP
SERCA1a,TM3,False,8.0,E1ATP
SERCA1a,TM3-4_loop,False,2.0,E1ATP
SERCA1a,TM4,False,8.0,E1ATP
SERCA1a,TM4,True,5.0,E1ATP
SERCA1a,TM5,False,8.0,E1ATP
SERCA1a,TM5,True,19.0,E1ATP
SERCA1a,TM6,False,8.0,E1ATP
SERCA1a,TM6,True,10.0,E1ATP
SERCA1a,TM6-7_loop,False,4.0,E1ATP
SERCA1a,TM6-7_loop,True,5.0,E1ATP
SERCA1a,TM7,False,2.0,E1ATP
SERCA1a,TM7-8_loop,False,2.0,E1ATP
SERCA1a,TM8,False,12.0,E1ATP
SERCA1a,TM8,True,10.0,E1ATP
SERCA1a,TM8-9_loop,False,4.0,E1ATP
SERCA1a,TM8-9_loop,True,10.0,E1ATP
SERCA1a,TM9,False,6.0,E1ATP
SERCA1a,TM9,True,6.0,E1ATP
SERCA1a,TM9-10_loop,True,5.0,E1ATP
SERCA2b,TM1,False,12.0,E1ATP
SERCA2b,TM1-2_loop,False,4.0,E1ATP
SERCA2b,TM10,False,8.0,E1ATP
SERCA2b,TM10,True,11.0,E1ATP
SERCA2b,TM2,True,3.0,E1ATP
SERCA2b,TM3,False,8.0,E1ATP
SERCA2b,TM3,True,8.0,E1ATP
SERCA2b,TM3-4_loop,False,2.0,E1ATP
SERCA2b,TM3-4_loop,True,1.0,E1ATP
SERCA2b,TM4,False,14.0,E1ATP
SERCA2b,TM4,True,5.0,E1ATP
SERCA2b,TM5,False,14.0,E1ATP
SERCA2b,TM5,True,16.0,E1ATP
SERCA2b,TM5-6_loop,False,2.0,E1ATP
SERCA2b,TM6,False,6.0,E1ATP
SERCA2b,TM6,True,11.0,E1ATP
SERCA2b,TM6-7_loop,False,2.0,E1ATP
SERCA2b,TM6-7_loop,True,9.0,E1ATP
SERCA2b,TM7,False,6.0,E1ATP
SERCA2b,TM7-8_loop,False,20.0,E1ATP
